线路一：
Num    X        Y     Name
1        816    538  刘家大湾
2        639    490  银河湾
3        453    399  龙湾一品
4        260    365  金广厦
5        65      363  万达广场
51         21      359    temp
6        140    176   中心医院
7        202     72    鲇鱼墩
52         223     21    temp
8        347     18    长湾
9        479     17    磁湖梦
10      630     15    汇金花园
11      811     12    武夷花园
53         1004   9      temp
12      1008   87    妇幼保健院
13      1006   235  明秀山庄
14      1006   385  琥珀山庄
54         1002  503    temp
15       953    507  湖景花园
55           896    510 temp


线路二：
Num    X        Y     Name
1        816    538   刘家大湾
2        639    490   银河湾
3        453    399   龙湾一品
56          392    370    temp
16      389    292   肖铺
17      387    82     杭州公馆
57          387    22 temp
9        479    17     磁湖梦
58          559    20 temp
18      559    124   康乐小区
 59         560    220 temp
  60        669    219 temp
19      688    223   白马山
61          836    278 temp
20      857    280   二中
 62         897    284 temp
21      896    390   新区口
22      894    477   宏维星都
 63         894    510 temp


线路三：
Num    X        Y      Name
23       29      210   铜花山庄
24       214    218   庙儿咀
64           285    216 temp
28       286    111   袁仓
  65         291    22 temp
8         347    18     长湾
9         479   17      磁湖梦
    66       559   20 temp
18       559   124    康乐小区
   67        560    220 temp
     68      669    219 temp
19       688   223    白马山
20       857   280    二中 
   69        897    284 temp
21       896   390    新区口
22       894   477    宏维星都
     70      894    510 temp


线路四： 
Num    X        Y      Name
23       29      210   铜花山庄
  71         107    216 temp
5         65      363   万达广场
    72       19      362 temp
4         260    365   金广厦
     73      386    367 temp
3         453    399   龙湾一品
      74     536    444 temp
           531    376 temp
26       542    322   怡康花园
     75      557    223 temp
27       481    220   牧羊湖
     76      390    217 temp
17       387    82     杭州公馆
      77     387    22 temp
9        479     17    磁湖梦
10      630     15    汇金花园
11      811     12    武夷花园
    78      1004   9 temp
12      1008   87    妇幼保健院
13      1006   235  明秀山庄
14      1006   385  琥珀山庄
     79      1002  503  temp
15       953    507  湖景花园
   80         896    510 temp

线路五：
Num    X        Y      Name
23       29      210   铜花山庄
24       214    218   庙儿咀
25       345    219   玉家里
     81      389    224 temp
16       389    292    肖铺
    82       392    370 temp
3         453    399    龙湾一品
     83      539    444 temp
    84       531    374 temp
26       542    322    怡康花园
    85       560    222 temp
    86       669    219 temp
19      688    223   白马山
    87      836    278 temp
20      857    280   二中
     88     897    284 temp
21      896    390   新区口
22      894    477   宏维星都
   89       894    510 temp
1        816    538   刘家大湾
